country,ae,al,am,ar,at,au,az,ba,bb,bd,be,bg,bh,bn,bo,br,bs,by,bz,ca,ch,cl,cn,co,cr,cy,cz,de,dk,do,dz,ec,ee,eg,es,et,fi,fr,gb,ge,gh,gr,gt,gu,hk,hn,hr,hu,id,ie,il,in,iq,ir,is,it,jm,jo,jp,ke,kh,kr,kw,kz,lb,lk,lt,lu,lv,ma,md,me,mk,mm,mo,mt,mu,mx,my,ng,ni,nl,no,np,nz,om,pa,pe,ph,pk,pl,pr,pt,py,qa,ro,rs,ru,sa,sd,se,sg,si,sk,sv,th,tn,tr,tt,tw,tz,ua,ug,us,uy,ve,vn,za,zm,zw
ae,0.0,8.323526570013604,8.913704799960676,8.39200607883129,8.175500978221415,8.004760809445308,8.90481541845035,8.231665952727484,8.854473216437723,9.15527929610544,8.076268925322474,8.263738279489571,8.497201985661315,8.455265467089184,8.582430638409162,8.467337490441636,8.762927749394498,8.681282853018265,8.814024023335454,8.06998080443822,8.093372227163796,8.192117932488722,8.24869755522395,8.230502300036068,8.289151713286943,8.321806630112166,8.124186232088599,8.243613065888958,8.128721372557617,8.535084379715489,8.965566857522829,8.307651041026915,8.168780488101314,8.380863267217526,8.00029104042588,9.253677030775545,8.18835472926878,8.23254185456609,8.183814637848437,8.649147832213217,8.976963660293178,8.088671378128213,8.496650379980514,8.579058874987918,7.920167499375393,8.616138347435957,8.03822023015407,8.200694190237522,8.169024278347246,8.108496776597672,8.161050305276724,8.299915870563682,9.250412444940881,8.357740841823238,8.146454514142144,8.149535701903252,8.499837076236181,8.496244683094899,8.22976128368012,8.520330158191946,8.64847282063903,8.164931032229356,8.450342963751597,8.439531939948292,8.201121957328544,8.382074321363566,8.369216208022815,8.327823910317564,8.297157243012718,8.733860854763403,8.821355294073342,8.666967486062758,8.259283219105335,8.710941448174903,8.478618279375038,8.282094761918698,8.563790563732159,8.31110698275868,8.26588335961076,8.429202064673207,8.621601229449258,7.964572731912202,8.158976983252238,8.548879345491741,7.979472388369981,8.610705846250172,8.56355760829089,8.276282577967375,8.117241079136418,8.52630402720493,8.438064453840632,8.328881021521575,8.16652011187046,8.571944385413408,8.409873234231982,8.135544064411269,8.122083801554982,8.391248094792699,8.353925812446983,9.33145624890855,8.283746722607491,8.027647047933336,8.054324724806014,8.198822948500307,8.716417900985396,8.139270071877181,9.046211190140326,8.258760141242398,8.347574338983565,7.962449925616189,8.884668740705592,8.263368852386083,9.073300765278592,8.083035488951015,8.428886220832137,8.45829526925814,8.398243691997605,8.247043166990347,9.031268331124704,8.881521595639827
al,8.323526570013604,0.0,8.72130357181086,8.41220558671784,8.120550373735547,8.106734473653596,8.782987570999824,8.192225682681308,8.881594198804986,9.1552769345535,8.112292623430692,8.182668259541716,8.48313595409235,8.51544131201381,8.497697251330884,8.331408783485792,8.751197163590609,8.447064479704038,8.788302741981587,8.103173315570789,8.042175667587562,8.227313305162848,8.412865079200694,8.24560357938864,8.251734248123606,8.261510152803453,8.09122010158109,8.148838061332278,8.169335592944043,8.481937324446758,8.819514994359439,8.373223502849282,8.131808177313372,8.48870024512929,8.06718716892142,9.342427970379951,8.126168631087255,8.1720043523601,8.258962681197792,8.53584169098518,8.967975759748889,8.098241204075403,8.481438411553691,8.580608025017119,8.128545851374747,8.539147396200391,8.042011801143401,8.15773266185492,8.320276368152314,8.245063723275827,8.117146937998399,8.461229389397309,9.058403923984768,8.365339704084091,8.218949662207491,8.117795823010011,8.495165237789898,8.376176308903574,8.361600545786525,8.645717715803253,8.68102030394787,8.172771681720983,8.40585926153525,8.334573764221407,8.268989558737857,8.516234755344012,8.265274545943788,8.228228593207884,8.237084291661574,8.497917675805464,8.538897280542113,8.42211873697784,8.16923490569743,8.717681746715483,8.547115639558536,8.22062349049432,8.553198817263203,8.350800278257553,8.488081242913303,8.558482935099303,8.526437357400965,8.01542582549143,8.23139835379968,8.54418493045105,8.111910038361447,8.632647306873027,8.468280693939594,8.299508132549583,8.305771459540587,8.7698565641557,8.292669805752045,8.379345749088605,8.061142921193012,8.453123534922216,8.456290114775067,8.102804046616745,8.0746729687053,8.401978182285431,8.421725191416758,9.183932417058482,8.224473547518425,8.143688466098709,7.989151884584577,8.163704944394771,8.671715706814648,8.257728701257706,8.83351771502847,8.257008245150395,8.467568146006702,8.101932216681591,8.904806406560539,8.207570638956877,9.156906564162496,8.240627067067678,8.37391180853046,8.463129622366456,8.460981307545067,8.351283631901728,8.955000441584932,8.84553635308423
am,8.913704799960676,8.72130357181086,0.0,8.927031794866641,8.613916001048873,8.668812477280607,9.1036905423708,8.655587493480644,9.332750819399022,9.550396200799241,8.600765544323616,8.72063148525519,8.88741450185117,8.905428069923548,8.985726518322272,8.852308308286826,8.961049853292993,8.816305219907358,9.063574620077853,8.68797177029726,8.615705121171965,8.8015073256777,9.052962118038085,8.8432037579129,8.869658117849466,8.739924484125119,8.635336798198754,8.665580841725523,8.740353398308997,9.04580607699085,9.136139883155003,8.94558144281616,8.70756532377371,8.971966646303597,8.649090623459388,10.01540506347541,8.66837766353441,8.64718374816171,8.682751583131317,8.926656365081387,9.53258166512807,8.56692255867388,8.99322001323148,8.788600045374972,8.64052864683615,8.940030438964753,8.577870890050589,8.604155314064469,8.834494052205727,8.707059639030913,8.647367720532218,9.138941173909583,9.385359437143167,8.913710219577757,8.733507020662984,8.668211817789942,9.149227946026429,8.867231512560027,8.897503346073611,9.305950659928175,9.185107097096589,8.681231193547676,8.934280766023086,8.911251402329095,8.846887500968203,9.04363852525901,8.791489857291271,8.610133713044664,8.725338616653676,8.972485702118405,8.907460622670767,8.879269614580531,8.662860009109684,9.009732167633139,8.983999030136687,8.74562026694718,8.989791895925535,8.923148777664743,9.088596786500888,9.251322170642771,8.96373588455174,8.551774952805587,8.784611723486966,9.132639748158468,8.637825353270639,9.137076851149022,8.793632164585308,8.830501303328528,8.869356119149982,9.415827338300998,8.697291493253175,8.967538327065203,8.644163966390188,8.859809138544891,8.946124707293423,8.66001745107918,8.605043194571262,8.84237857762481,8.974357870775984,9.358444910678205,8.776229999216536,8.638466512354244,8.518882455449628,8.66044477368658,9.079823710024204,8.875366794254344,9.154048486295128,8.72810673444927,8.966800546121851,8.681098306111403,9.219305199713117,8.64448142995034,9.613288522524797,8.787217780661173,8.77820670660602,9.044540443610385,8.934753350611983,8.89790459566795,9.205218469544116,9.12687816752709
ar,8.39200607883129,8.41220558671784,8.927031794866641,0.0,8.260079422763308,8.247902980734647,8.966301197786104,8.293717474662627,9.066600720211005,9.257878945004352,8.189223520674444,8.25548163157673,8.69055676025632,8.674696972676387,8.46209569070339,8.367893238145573,9.010177694649832,8.639265786581706,8.957181718369528,8.286694073738508,8.264220958621424,8.164950829107768,8.582241145740806,8.190160169138883,8.238495365400729,8.496163568872248,8.15903003306078,8.247929320090115,8.30875094129103,8.608004668740023,8.86986908202877,8.31090827138642,8.219402725711575,8.491734351067697,8.131776192205876,9.76825678390888,8.245636563665936,8.22507293715658,8.27124771423386,8.68668692607025,9.272234333061379,8.171058450597853,8.505916174593649,8.684377243339165,8.20805878919277,8.657449196100336,8.12747226583462,8.189950550118407,8.372781681149355,8.269964238435424,8.25428450186567,8.62371934939616,9.359610269373569,8.561832976426112,8.349915667678177,8.136626609991234,8.797957745139179,8.554694481832824,8.476603787022256,8.840037837232732,8.868018127794027,8.269126201030778,8.603494375222333,8.573722571137466,8.481517293373072,8.665278443353298,8.339233110342104,8.418655539131988,8.351084291806865,8.66775105450582,8.720495817004489,8.697357994778013,8.376775752318363,8.951224020915857,8.793503619767824,8.438842271802207,8.903146967106125,8.274091047265411,8.589566133202807,8.74386840357669,8.68831399265615,8.161706520306895,8.365435370937217,8.695732768475317,8.195379977737014,8.997460108368449,8.573294238893896,8.200430326431597,8.373906028508276,8.882118763595903,8.305865260150428,8.425086823040699,8.104518046839637,8.454948691008934,8.640490118265701,8.180111901427455,8.168107397263203,8.399220993244901,8.530337335235297,9.374339740064386,8.394585305766064,8.270870285223054,8.10361951713871,8.17630012545418,8.741304092526859,8.38411144338029,8.961960637640756,8.374685193094907,8.611722250785904,8.206881511339168,9.138650132805004,8.277750577336247,9.459818353184135,8.361343562901103,8.398628787382352,8.37777044366376,8.476632027096207,8.457309975917866,9.22732640573751,9.17995098049087
at,8.175500978221415,8.120550373735547,8.613916001048873,8.260079422763308,0.0,7.72845393895071,8.654939688996123,7.95302466551462,8.74748318642284,9.121920234412125,7.659621023396003,7.837497147515079,8.450776161762636,8.508805538089952,8.497211696647604,8.091230813572315,8.554527209957346,8.31465186397073,8.736242698145622,7.7396441549497075,7.560198456797494,8.020289227254153,8.189539895646053,8.185388309996581,8.126487067010375,8.106439242205989,7.721770404076803,7.701169386119153,7.724318898584858,8.356218339595076,8.855929982204136,8.301251669795224,7.758760932648,8.397496935452551,7.753656295678112,9.322862509461388,7.719340851343049,7.798180237018915,7.797902310685181,8.429091072905788,9.045895672382702,7.8347493271339195,8.420590958808221,8.362583568567027,7.845041926094504,8.504287985670755,7.721000986051432,7.797543122118239,8.214342790748518,7.787542586493783,7.733686871016102,8.407477820824797,9.193976769135737,8.312393503456061,7.834617742708418,7.865338691809204,8.442002814780725,8.28452081384357,7.940095729482337,8.480589017230246,8.783318769645795,7.822669846277712,8.313544375627972,8.417438924048106,8.125899192651522,8.42861435730168,8.029318505254368,7.882609062715961,7.953520031905711,8.44967848492822,8.533464704998407,8.386622621116889,8.053848347063473,8.660541328899754,8.484259630897045,8.004977530167226,8.447248971670255,8.248112761442723,8.480891064895864,8.434523281576892,8.539342831915318,7.595764095736706,7.7832703892737385,8.551028103886543,7.717123391172978,8.634839547532822,8.343566703872078,8.229078824523715,8.256676241240685,8.784843701206535,7.974317795454786,8.193444263759174,7.81080372131008,8.387845746751806,8.316366748761055,7.890705079431462,7.795597286352905,8.146395501892947,8.310675569623927,9.098608355668949,7.747974678547783,7.8267066899531414,7.655131117291963,7.802726418804382,8.658322568856006,8.035772579934623,8.883536400911028,8.083075347415914,8.279814456108342,7.832251293736668,8.722335292027378,7.9603618521195845,9.134934792447408,7.837981841806408,8.129252760064812,8.356313497625816,8.236620540021207,8.025845109845893,8.781425308368949,8.661655508956454
au,8.004760809445308,8.106734473653596,8.668812477280607,8.247902980734647,7.72845393895071,0.0,8.68763993296768,8.01655756860677,8.50987985930355,9.064074532982696,7.684281243561212,7.950015359010909,8.269116676764348,8.2990757237188,8.449269464857949,8.180221083880504,8.4770263502159,8.462418419882221,8.557553354319072,7.654309205484021,7.6582207895370455,7.99770468408081,8.08438436607286,8.140095406899908,8.087617305326155,8.025114502207497,7.779785903379384,7.801704377341065,7.699599179984251,8.312002284137916,8.848267709620588,8.236760010437184,7.884252022127316,8.303205586268096,7.706280293579958,9.207729680926143,7.7486677129085635,7.867106944591269,7.69161364435304,8.438277374050733,8.847012509941004,7.82111313975638,8.345338139283939,8.16847980905149,7.714597616457079,8.493954716549144,7.746325055121794,7.870486777748939,8.074126294972725,7.609247493956136,7.7713014665498745,8.26625335973279,9.164200436424478,8.3016096423251,7.800742607934694,7.858741946793012,8.24342995249117,8.301044676004313,7.914216623473118,8.307872679164403,8.622281999963766,7.813577225942368,8.23189160756768,8.397411124770963,8.09500500946267,8.298877256595018,8.060261154752087,7.9144610839586,8.015607912822498,8.532189921304127,8.470827792490038,8.415217118558088,8.02847491761874,8.553299899276448,8.273118659796271,7.89174895888053,8.331133264048539,8.22227729067088,8.23883931556215,8.270208555076781,8.511682861995546,7.580628665387051,7.728959478605012,8.463947324445792,7.49894335124077,8.519156308744835,8.34310529013012,8.16883700290916,8.06272550167964,8.590783472951015,8.074996812875579,8.119865242496168,7.788950078036446,8.353730474126042,8.192883476031282,7.929793975458986,7.834974566689516,8.149768046874893,8.241196779616754,9.110443203919244,7.78323060205065,7.646179175759938,7.721802598534205,7.802228924159788,8.592956997204192,7.928870332850209,8.913206270837211,8.1016641283848,8.067476506509228,7.7157151818005385,8.587115459641716,8.035846889749173,8.904296910290224,7.668008620983941,8.144152636454848,8.355842836841852,8.170673236948018,7.885281825325004,8.688389074423723,8.565316225026672
az,8.90481541845035,8.782987570999824,9.1036905423708,8.966301197786104,8.654939688996123,8.68763993296768,0.0,8.729499207135897,9.129651688248773,9.558418911834357,8.643535318951729,8.77279606852631,8.893285764288832,8.960325011641103,9.02520102471319,8.92341507829961,9.057976612988329,8.728033062738003,9.112981137285201,8.712808779996893,8.642047506545499,8.798391304004122,8.939877900240045,8.920621423568129,8.830237148316723,8.81844799622263,8.645475115140844,8.710179805174965,8.759709531226521,9.03695695234361,9.294195078462232,9.019687646807176,8.700596564459147,9.104352957724362,8.659503822955818,9.757681900386157,8.75583657049809,8.726147330255047,8.756971563619901,8.997205803267068,9.396607559183426,8.65950207348403,9.049731819246373,8.844490722506642,8.670089833019313,9.033047351168289,8.666431877758702,8.66372372227815,8.808488066806131,8.768866862886513,8.712371619416093,9.064864120033977,9.37034864699509,8.871591231573865,8.70280773108284,8.677658179113282,9.158178298970114,8.89472607481,8.912885637679652,9.308856308108492,9.057714937765569,8.671432038426452,8.89918952175964,8.914226945652874,8.824934658682713,9.033094588382092,8.845677734005779,8.605225518237008,8.777484908784055,9.113490531857343,8.899670644445079,8.825490556069909,8.741650660884087,8.869658715555122,8.83063431308908,8.77687299620987,8.97799733494928,8.902115356994441,9.01992299170086,9.124138682622391,9.038011760979996,8.580654859724124,8.824544259672445,9.097374538174265,8.672425965763985,9.088870130216941,8.986301455051757,8.888808018686772,8.880181406322727,9.343773865627252,8.861085767098908,8.984736819132344,8.67573520301066,8.900638823112464,8.870208822382958,8.73081762525408,8.701422898887333,8.868671613307113,8.993442496794994,9.441685988982409,8.826224858743648,8.683846741063855,8.614364357354695,8.698825020231995,9.074806172097624,8.781908981083106,9.234517437211931,8.825671241285912,8.986149277909645,8.624775492054848,9.10764775250813,8.780846062982246,9.37334950726676,8.776356653663422,8.858320830003061,9.06949165023235,8.939982975889613,8.879436457748463,9.209558432923513,9.056034432380782
ba,8.231665952727484,8.192225682681308,8.655587493480644,8.293717474662627,7.95302466551462,8.01655756860677,8.729499207135897,0.0,8.807100172201581,9.056185657596236,7.9312915767177765,8.025967679769991,8.445848062523376,8.486320131666234,8.487240072664695,8.202697419917559,8.713834106337647,8.413463343486393,8.742720200285346,7.986943879058049,7.966164015740681,8.101370625547286,8.389877197858677,8.179460395107391,8.165359699326103,8.23133451165647,7.900321586479178,8.00823089372015,8.05135834942422,8.432890720070242,8.746165317250046,8.31591026499548,7.985428680009051,8.38472265541532,7.952929363385998,9.46492866619222,7.9681032606437485,8.031391009750642,8.07256245280708,8.496753622308919,9.014355206285122,7.974722252516093,8.376017881443179,8.503207011550197,8.008611193149973,8.478417704717856,7.8553362725413995,8.000958302880257,8.217519274707453,8.029452766716224,7.965921511129243,8.444260736346484,9.13362727147904,8.319856508033403,8.029347552020013,7.981721023246176,8.522803226894315,8.28420521316164,8.225310900150667,8.61955714521865,8.682629719485252,8.011785240915845,8.325649210810035,8.40800622250239,8.202338301143756,8.479043947446904,8.155102405510826,8.161782913027743,8.091831403359686,8.442235154097439,8.52358926042486,8.47211953173955,8.108076915969859,8.739520041380825,8.592145762042046,8.154092148899254,8.521648080052572,8.261388245102093,8.414522966070209,8.533112488199098,8.54905379024559,7.872973322747258,8.1367641699488,8.542674984687368,7.963016581443589,8.737422204957348,8.375051174448563,8.23785641212531,8.225595856243446,8.787615637568347,8.098194777054903,8.183083156703667,7.956616322745493,8.374164530526517,8.371937479669748,7.997906749188191,7.894636653211804,8.251649602370774,8.344843219640195,9.116892944265388,8.087629039294036,8.006219012134224,7.8217161874592644,7.991849092705271,8.568805674438257,8.168406282680596,8.76190694072548,8.1544788735786,8.361731402597501,8.004682853551742,8.861192590663402,8.042168737151624,9.249161995434566,8.084283320051334,8.269789816937672,8.386011184102976,8.371540204854492,8.203254111343881,8.891764520025362,8.86914574833879
bb,8.854473216437723,8.881594198804986,9.332750819399022,9.066600720211005,8.74748318642284,8.50987985930355,9.129651688248773,8.807100172201581,0.0,9.549521707926719,8.6505834412347,8.833579073221971,8.941035704910371,8.816560281010936,9.10967398558272,8.991848800060616,8.825745986838779,9.04079534988312,8.917893959157288,8.579910343197138,8.60914311935162,8.864976048121465,8.876904973245146,8.887452428154894,8.898069069058552,8.835641894288623,8.658030902452428,8.703262303172995,8.675647613009195,8.996285320956527,9.33981008993908,9.018673810026291,8.683617853999252,9.110313485082914,8.637673728300248,9.690473580438905,8.70704925396414,8.794076238107724,8.626495676050842,9.210665707244083,9.22358927624707,8.752781561678878,9.081607183834667,8.609196966591348,8.556454798957958,9.102683878460653,8.66190583811953,8.837867484004986,8.877936778561416,8.640834762539976,8.702532612327673,9.047733655159666,9.652821663877585,9.015905666708953,8.653146315675267,8.779719949202805,8.815888697557487,8.967437611457324,8.786004042220778,9.105157463748732,9.130429358776503,8.71054918103336,8.979291069844631,9.03382798607816,8.913608158269284,9.043708456154677,8.891248929461268,8.542697565126403,8.834428475370082,9.11496166746476,9.030428213654403,8.977217366303375,8.778646000160549,9.057732574815079,8.805809633766819,8.708386417486341,8.90509470607492,9.02293328329532,8.98708038278266,8.96694002833773,8.950617181788353,8.499187080217872,8.715954841459116,9.054556531922211,8.475084822055441,9.018482270868654,8.982111513588722,8.970900941760117,8.829063914084427,9.409595225724908,8.99274215316914,8.892949847421535,8.60962911688424,8.999343568197991,8.898739773792379,8.760328797866732,8.713956753784213,8.982821849437716,8.999039848749845,9.429915760843928,8.76050462700897,8.476516589299234,8.70070757460979,8.781494169978002,9.175559374769652,8.749271979701037,9.351570251877371,8.985496306394898,8.739691766148647,8.591811146250414,9.04711598005264,8.9330511447014,9.412543159633444,8.608470024002335,8.918116293781065,9.130277458268761,8.948414147324824,8.819324721853285,9.099040550094404,9.010968092910229
bd,9.15527929610544,9.1552769345535,9.550396200799241,9.257878945004352,9.121920234412125,9.064074532982696,9.558418911834357,9.056185657596236,9.549521707926719,0.0,9.090441594417062,9.15142998528623,9.216125744168927,9.030403157476655,9.257685469756304,9.219931628347476,9.536252369747702,9.323187796060784,9.457430353098664,9.072354974301048,9.193982726758598,9.1563985452112,9.206559648547984,9.10595342759795,9.161913675101419,9.219717354459826,8.93828637725484,9.100853107755327,9.219172018262434,9.413797485478462,9.372434550265103,9.20354802408858,9.014533981050844,9.177107970463801,9.08646513244835,10.233314127980163,9.112299352495793,9.125299503164033,9.135363341189874,9.336551163709277,9.698337762837241,9.045881151738428,9.310812800546763,9.216039549563677,8.834824379159995,9.33018806481541,8.97514307148556,9.067496574940726,8.936134878680999,9.172215702785339,9.157693354143369,9.29553400555551,9.697538938812764,9.17742281014528,9.163467307598783,9.041076685849157,9.370907238220054,9.140073953787683,9.211958743425363,9.562182441397999,9.230630766452377,8.97973217888341,9.127796896170508,9.193672794098005,9.215876862608118,9.216403584552847,9.048967820103552,9.169524157011356,9.128270377638348,9.29492008623467,9.321419217785776,9.376559776529056,9.25404796705066,9.468155706449025,9.115985795554161,9.158622426687307,9.500022316088696,9.142591094575284,9.035755730261704,9.466879701178602,9.368187705641779,9.027016173750356,9.275248371288622,9.091590166833859,9.016326843657168,9.537629104699752,9.342618512134123,9.08189266199421,9.012175125351803,9.445821970585492,9.130983166416815,9.184909978591072,8.924941519978939,9.226093711895437,9.095762712527616,9.053482892233843,9.036991799656928,9.065871661782818,9.142352692625352,9.702490699627328,9.277976518050737,8.818571405033136,8.987118781560866,9.029658504284471,9.40116953793118,8.95785159006079,9.411730737169881,9.143952257577554,9.228195371952404,8.95602794291434,9.718046223612546,9.090097418794198,10.008293080584721,9.166812335534583,9.216345973802762,9.338428674305032,9.01916181277457,9.27179753182589,9.709542011610452,9.800107277120405
