Gemeinde;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08111000 Stuttgart, Landeshauptstadt;371099;234740;136335;24;240458;128776;746;239712;93411;50775;12774;26470;26078;14304;1193;510;3829;3429;;;;717;;;2335;;194;1405;2263;25
08115001 Aidlingen;6646;4166;2480;0;4589;2375;28;4561;1442;1261;375;392;605;90;24;;50;186;;;;51;;14;24;;;31;16;
08115002 Altdorf;3339;1827;1512;0;2491;1465;3;2488;847;652;213;274;274;44;27;;20;58;;;;;;;11;;;29;16;23
08115003 Böblingen, Stadt;31892;22741;9151;0;18919;8544;122;18797;5555;4256;1971;2993;2186;521;77;;261;333;;;;;;;86;;;159;98;301
08115004 Bondorf;4277;2754;1523;0;2954;1439;20;2934;896;851;231;287;353;48;14;;44;140;;;;16;;4;13;;;28;9;
08115010 Deckenpfronn;2498;1454;1044;0;1809;987;9;1800;470;539;216;154;215;40;12;;15;69;;;;10;;5;17;;;30;8;
08115013 Ehningen;6242;3413;2827;2;4459;2717;17;4442;1483;1170;309;541;516;88;27;;76;135;;;;;;;18;;;34;19;26
08115015 Gärtringen;8660;5258;3402;0;6069;3253;36;6033;1859;1756;444;664;697;144;33;;67;231;;;;;;;33;;;56;25;24
08115016 Gäufelden;6525;4099;2425;1;4512;2307;24;4488;1338;1226;457;409;581;93;23;;64;165;;;;28;;12;26;;;53;13;
08115021 Herrenberg, Stadt;22613;13793;8820;0;15809;8340;84;15725;5416;4102;1266;1589;1625;420;191;;200;479;;;;96;;19;109;;;149;64;
08115022 Hildrizhausen;2599;1317;1282;0;1845;1232;2;1843;517;541;161;210;206;37;11;;27;94;;;;;;;8;;;14;5;12
08115024 Holzgerlingen;9120;5114;4006;0;6399;3816;28;6371;2240;1592;492;697;723;98;50;;77;209;;;;;;;34;;;68;41;50
08115028 Leonberg, Stadt;31348;19627;11721;0;21148;11153;98;21050;7102;5235;1599;2273;2480;558;127;;344;730;;;;178;;36;151;;;78;159;
08115029 Magstadt;5917;4006;1911;0;3778;1806;22;3756;1178;835;389;492;518;88;15;;62;82;;;;;;;24;;;42;24;7
08115034 Mötzingen;2539;1657;882;0;1632;831;15;1617;401;476;211;147;207;23;10;;22;72;;;;10;;6;10;;;13;9;
08115037 Nufringen;4243;2463;1780;0;3063;1710;19;3044;1012;840;242;327;319;70;23;;36;94;;;;10;;2;25;;;24;20;
