,DEE,DEG,DEF,AZ-ABS,AZ-MAS,AZ-AST,AZ-XAC,AZ-QUS,AT34,BABRC,FRE2,ITF6,ITF1,ITH4,NL23,NL13,PL61,PL81,PL43,PL82,PL84,PT15,ES41,ES42,ES21,SE32,UKC2,UKE4,UKG1,UKG2,UKJ4,UKJ2,UKL1,UKM9,UKM8
DEE,0.0,8.319198017226965,9.73273287858184,12.481691669753008,13.21987255646058,13.440605711787597,13.004371614152808,12.107420620753292,8.881863530195758,10.716079679980592,9.980277669223575,10.30037474815374,10.349980675710574,10.362322991784616,9.030941149421837,9.25864445927136,11.636912618615339,10.610905179284929,11.206477580163012,10.643095898038185,10.472841574513811,9.540876008830393,10.379723014764965,13.016800190723032,9.49973044879336,9.396601088952211,9.769368030502005,9.278425155944984,9.639985485569,9.017243100164102,9.23370981402139,9.385232435079807,10.277989789288293,9.892492873815602,9.754961104335878
DEG,8.319198017226965,0.0,9.467247727370957,13.01600380159068,13.49152057279304,13.528618791509238,13.229274067017876,12.433328750556953,9.290380973076036,11.012840630379765,10.243356508127926,10.802978038897127,10.811398128494648,10.374519789801667,9.25672707311771,9.1983759368713,11.790423024306508,10.736428958141094,11.930310583445385,11.14689845338463,11.027531211948201,10.267483345579796,10.609754070631581,12.652277144734771,9.771097817772832,9.088753665610996,10.019291461632301,9.552624809546181,9.580995861292124,9.10132688544684,9.65382769643405,9.18443064747007,10.292754485067801,9.841064216061936,9.705335771053832
DEF,9.73273287858184,9.467247727370957,0.0,11.732061433931051,11.412168017426572,11.620093733622957,11.48778978445165,11.734104373854192,9.37483530011963,10.755844557747965,9.959678840277139,10.09471960050485,9.780816921484929,9.624183205149201,8.99187717453212,9.05690978179706,10.516280183885392,10.027513982142292,10.982130309489204,9.896156425723062,10.087763359291996,9.257426984313335,9.611028405506259,11.728762286786598,8.983629186983134,8.702294521897606,9.508849290204415,8.857846122639453,8.53421319826057,8.998624254718283,8.756927158220755,8.658366082484607,9.61724761192259,9.044930800416202,8.877781243413134
AZ-ABS,12.481691669753008,13.01600380159068,11.732061433931051,0.0,9.984405321427806,9.919729308830155,8.681834264726072,11.543692605557615,10.821822719940542,10.872750657454986,12.017370463313851,10.150180204508404,10.75706243645801,11.772754140092085,11.646213651540723,11.208717765923302,11.728579582047075,10.189562270929706,12.143189777962853,10.080377691011682,10.251910911082852,10.683187107097622,11.289812357092103,12.747669583963766,10.963407933990252,11.699562110762182,11.70118642366907,11.697303013013553,11.351288675730297,11.401434521760816,10.895145547134804,11.544428261367242,12.65602143606218,12.129471415060523,12.221489055769625
AZ-MAS,13.21987255646058,13.49152057279304,11.412168017426572,9.984405321427806,0.0,6.437919225010683,8.825860606207222,11.309033208428117,11.718483358171211,12.708695973158804,12.029830979023503,10.284838784989395,11.705284054911282,12.060031150263375,11.579170639466271,11.268463244571466,11.744338202778914,11.372345401616396,12.922674502806771,10.705183406299883,11.423127807337107,11.15780393642618,10.76468261651264,10.514934423929512,10.204348745882262,11.73589453775709,11.51726028007986,11.622994963936026,10.934184355319097,11.833725103023086,11.099239186350617,11.302643344613266,11.689939688054668,11.504480220326801,11.701663383125466
AZ-AST,13.440605711787597,13.528618791509238,11.620093733622957,9.919729308830155,6.437919225010683,0.0,8.664595437869767,11.245243601689785,11.827161698605536,12.486245982102345,12.10397268245099,10.515120746900747,11.750024715973796,12.05685710649592,11.749628024174784,11.380657688066064,12.025352491545028,11.436566731869025,12.889281177975747,10.890962872746762,11.594922763104828,11.304343398777695,10.963181216610879,10.39978154819283,10.331004615364195,12.003179807466697,11.597451359885099,11.713551980023029,11.218350836494857,12.003690997963233,11.242632268034486,11.418224225239332,11.600389564293005,11.720885242377483,11.611636166986965
AZ-XAC,13.004371614152808,13.229274067017876,11.48778978445165,8.681834264726072,8.825860606207222,8.664595437869767,0.0,11.377395930374957,11.278250255553191,11.543454807589603,11.686728915699529,9.748034404587125,11.296497353360408,11.594014549582777,11.27210392951496,11.235689607736632,11.20738220581132,10.567531384599597,11.751530422399664,10.1330543654708,10.682815032392492,11.338513034712655,10.756103338317264,10.861108254487943,10.399309629008691,11.579359267818264,11.060352488340373,11.55297880187988,11.412897556307392,11.752716025029088,10.599165185117867,11.271461753681312,11.751245443432522,11.868072177017918,11.533349483424583
AZ-QUS,12.107420620753292,12.433328750556953,11.734104373854192,11.543692605557615,11.309033208428117,11.245243601689785,11.377395930374957,0.0,10.986679507676218,12.812597824276178,11.42546779018761,11.003904229332974,11.151767853767955,12.11897286491016,10.541099969126842,10.581715767772288,12.132129351715557,11.462581736870854,12.477103052358027,11.088900637883807,11.498534711786652,11.247529548507005,11.144605285074453,12.186852947457469,10.33262218503183,11.456924802344377,11.154884717343641,11.217715798496885,11.234740324241061,10.696487385573182,10.67504977661397,11.160152567888497,11.67778852058894,11.23376473044093,11.639719569550959
AT34,8.881863530195758,9.290380973076036,9.37483530011963,10.821822719940542,11.718483358171211,11.827161698605536,11.278250255553191,10.986679507676218,0.0,9.941646068272648,9.871824731192024,9.39635917971325,8.921527228786552,9.985614942109306,8.945893524358484,8.860162858274736,10.809732819252961,9.40078381780648,10.841960099054274,9.361489818761893,9.165776256250409,9.13928524049757,9.60961014826652,12.237645514662127,9.57568519452042,9.153438435836664,9.697384817669311,9.160769750123276,9.033299403587856,8.86588325105938,8.920102482913732,9.247437341969237,10.530659010431883,9.987860425050634,9.91422872231594
BABRC,10.716079679980592,11.012840630379765,10.755844557747965,10.872750657454986,12.708695973158804,12.486245982102345,11.543454807589603,12.812597824276178,9.941646068272648,0.0,10.976070538929614,10.05286293658734,10.244133901896872,10.196659532921528,10.976434353791944,11.241513339572222,10.787072190135111,9.815819636117652,10.19076663613113,9.894214759913337,9.904468392641583,11.690198056557998,10.692918492624631,13.347391896357399,10.325150494692107,11.45043422088921,10.393797291609934,10.383891075031595,10.826352372144948,10.926988195135824,10.154194590555974,10.968475681316457,11.050281936281408,11.001132349145848,10.86604466335161
