,DEE,AZ-HAC,BABRC,BY03,ITF6,ITG2,NL13,PL84,PT18,RU51,ES21,UKC2,UKE4,UKG1,UKJ2,UKL1,UKM8
DEE,0.0,17.24627493548681,16.6212315440214,16.154790428035458,15.498379781448843,14.944257727414684,13.511470297889849,16.363740281840084,15.48155094136423,17.20382798348426,15.62162817626533,13.91102949539907,13.842040140641032,13.859906241740948,13.864266287796946,14.813069292659714,14.833981149828995
AZ-HAC,17.24627493548681,0.0,14.413306378253788,16.18512802931727,14.482505511041046,18.05346125763483,17.767332674410067,13.579416186956495,12.950153185733177,16.773469051958127,18.895279971323127,17.769684122226433,17.873951439984552,17.39868751511996,17.99708570159931,18.5692729687071,19.30290139129161
BABRC,16.6212315440214,14.413306378253788,0.0,15.893298853327254,14.990379542998753,17.926144047546313,18.3698969227805,13.687893932322154,13.400809639212426,17.08849835008892,19.102531705029246,17.29310620437297,17.227222504651245,17.548045864470687,17.92392477900464,18.342665279536497,19.044967306543825
BY03,16.154790428035458,16.18512802931727,15.893298853327254,0.0,14.921588582728953,17.405427422644355,17.452575085584858,15.95640673565932,16.380024422692152,15.760254605375586,16.499915196067988,15.658478756075642,16.119197375263926,16.482465469728098,16.242766650785878,16.8209564376177,17.15310624141803
ITF6,15.498379781448843,14.482505511041046,14.990379542998753,14.921588582728953,0.0,15.769586059243705,15.45798619962996,13.882086133506208,14.501792613418411,15.299896143296134,15.904796906992088,15.414616499117828,15.565767905627371,15.083703508853125,15.281039974562846,15.887161527303807,16.509651823114076
ITG2,14.944257727414684,18.05346125763483,17.926144047546313,17.405427422644355,15.769586059243705,0.0,14.335837037216635,16.64247231892551,16.51788960825186,17.76671913107448,16.41376742532623,15.214727103281087,14.881213355399568,14.54133371336678,14.788934071205796,15.922507570313055,15.491486045619085
NL13,13.511470297889849,17.767332674410067,18.3698969227805,17.452575085584858,15.45798619962996,14.335837037216635,0.0,17.021188293423066,16.50915137200587,17.807800539574178,14.3510906804156,14.019017818311017,13.608674746809724,12.536000421614872,12.45017613979341,13.549321961686092,13.268966074417175
PL84,16.363740281840084,13.579416186956495,13.687893932322154,15.95640673565932,13.882086133506208,16.64247231892551,17.021188293423066,0.0,12.851384775421757,16.947311663469076,18.433458230553786,16.51219737656463,16.549210919084352,16.40096711709564,17.016156116211604,18.326430644472406,18.485227198560487
PT18,15.48155094136423,12.950153185733177,13.400809639212426,16.380024422692152,14.501792613418411,16.51788960825186,16.50915137200587,12.851384775421757,0.0,16.548485617411696,18.45299081754669,16.726374759092526,16.389906029972135,16.28789183816594,16.959249091005578,18.033517537979694,18.28666389145057
RU51,17.20382798348426,16.773469051958127,17.08849835008892,15.760254605375586,15.299896143296134,17.76671913107448,17.807800539574178,16.947311663469076,16.548485617411696,0.0,18.036917211781397,17.250031598793974,16.946014115981924,17.30999019153657,17.65256777786094,18.402025242640775,18.707317193131654
ES21,15.62162817626533,18.895279971323127,19.102531705029246,16.499915196067988,15.904796906992088,16.41376742532623,14.3510906804156,18.433458230553786,18.45299081754669,18.036917211781397,0.0,15.314214097040043,14.966907809428966,14.286864446836114,14.215883646668042,14.337414572205708,14.213363879054471
UKC2,13.91102949539907,17.769684122226433,17.29310620437297,15.658478756075642,15.414616499117828,15.214727103281087,14.019017818311017,16.51219737656463,16.726374759092526,17.250031598793974,15.314214097040043,0.0,13.4858661562686,13.446768992908888,13.144473559412871,13.764905103194705,13.974684777975483
UKE4,13.842040140641032,17.873951439984552,17.227222504651245,16.119197375263926,15.565767905627371,14.881213355399568,13.608674746809724,16.549210919084352,16.389906029972135,16.946014115981924,14.966907809428966,13.4858661562686,0.0,12.979130126647686,13.20612256281212,13.69134214099529,13.306329607437226
UKG1,13.859906241740948,17.39868751511996,17.548045864470687,16.482465469728098,15.083703508853125,14.54133371336678,12.536000421614872,16.40096711709564,16.28789183816594,17.30999019153657,14.286864446836114,13.446768992908888,12.979130126647686,0.0,12.210216131304836,12.72560465883061,12.932953219476621
UKJ2,13.864266287796946,17.99708570159931,17.92392477900464,16.242766650785878,15.281039974562846,14.788934071205796,12.45017613979341,17.016156116211604,16.959249091005578,17.65256777786094,14.215883646668042,13.144473559412871,13.20612256281212,12.210216131304836,0.0,12.790911992887997,12.896140489921772
UKL1,14.813069292659714,18.5692729687071,18.342665279536497,16.8209564376177,15.887161527303807,15.922507570313055,13.549321961686092,18.326430644472406,18.033517537979694,18.402025242640775,14.337414572205708,13.764905103194705,13.69134214099529,12.72560465883061,12.790911992887997,0.0,12.891140773230898
UKM8,14.833981149828995,19.30290139129161,19.044967306543825,17.15310624141803,16.509651823114076,15.491486045619085,13.268966074417175,18.485227198560487,18.28666389145057,18.707317193131654,14.213363879054471,13.974684777975483,13.306329607437226,12.932953219476621,12.896140489921772,12.891140773230898,0.0
