Nr,Gebiet,Label,Bundesland
1,Flensburg – Schleswig,1,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,Schleswig-Holstein
5,Kiel,1,Schleswig-Holstein
6,Plön – Neumünster,1,Schleswig-Holstein
7,Pinneberg,1,Schleswig-Holstein
8,Segeberg – Stormarn-Mitte,1,Schleswig-Holstein
9,Ostholstein – Stormarn-Nord,1,Schleswig-Holstein
10,Herzogtum Lauenburg – Stormarn-Süd,1,Schleswig-Holstein
11,Lübeck,1,Schleswig-Holstein
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,13,Mecklenburg-Vorpommern
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13,Mecklenburg-Vorpommern
14,Rostock – Landkreis Rostock II,13,Mecklenburg-Vorpommern
15,Vorpommern-Rügen – Vorpommern-Greifswald I,13,Mecklenburg-Vorpommern
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,13,Mecklenburg-Vorpommern
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,13,Mecklenburg-Vorpommern
18,Hamburg-Mitte,2,Hamburg
19,Hamburg-Altona,2,Hamburg
20,Hamburg-Eimsbüttel,2,Hamburg
21,Hamburg-Nord,2,Hamburg
22,Hamburg-Wandsbek,2,Hamburg
23,Hamburg-Bergedorf – Harburg,2,Hamburg
24,Aurich – Emden,3,Niedersachsen
25,Unterems,3,Niedersachsen
26,Friesland – Wilhelmshaven – Wittmund,3,Niedersachsen
27,Oldenburg – Ammerland,3,Niedersachsen
28,Delmenhorst – Wesermarsch – Oldenburg-Land,3,Niedersachsen
29,Cuxhaven – Stade II,3,Niedersachsen
30,Stade I – Rotenburg II,3,Niedersachsen
31,Mittelems,3,Niedersachsen
32,Cloppenburg – Vechta,3,Niedersachsen
33,Diepholz – Nienburg I,3,Niedersachsen
34,Osterholz – Verden,3,Niedersachsen
35,Rotenburg I – Heidekreis,3,Niedersachsen
36,Harburg,3,Niedersachsen
37,Lüchow-Dannenberg – Lüneburg,3,Niedersachsen
38,Osnabrück-Land,3,Niedersachsen
39,Stadt Osnabrück,3,Niedersachsen
40,Nienburg II – Schaumburg,3,Niedersachsen
41,Stadt Hannover I,3,Niedersachsen
42,Stadt Hannover II,3,Niedersachsen
43,Hannover-Land I,3,Niedersachsen
44,Celle – Uelzen,3,Niedersachsen
45,Gifhorn – Peine,3,Niedersachsen
46,Hameln-Pyrmont – Holzminden,3,Niedersachsen
47,Hannover-Land II,3,Niedersachsen
48,Hildesheim,3,Niedersachsen
49,Salzgitter – Wolfenbüttel,3,Niedersachsen
50,Braunschweig,3,Niedersachsen
51,Helmstedt – Wolfsburg,3,Niedersachsen
52,Goslar – Northeim – Osterode,3,Niedersachsen
53,Göttingen,3,Niedersachsen
54,Bremen I,4,Bremen
55,Bremen II – Bremerhaven,4,Bremen
56,Prignitz – Ostprignitz-Ruppin – Havelland I,12,Brandenburg
57,Uckermark – Barnim I,12,Brandenburg
58,Oberhavel – Havelland II,12,Brandenburg
59,Märkisch-Oderland – Barnim II,12,Brandenburg
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,12,Brandenburg
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,12,Brandenburg
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,12,Brandenburg
63,Frankfurt (Oder) – Oder-Spree,12,Brandenburg
64,Cottbus – Spree-Neiße,12,Brandenburg
65,Elbe-Elster – Oberspreewald-Lausitz II,12,Brandenburg
66,Altmark,15,Sachsen-Anhalt
67,Börde – Jerichower Land,15,Sachsen-Anhalt
68,Harz,15,Sachsen-Anhalt
69,Magdeburg,15,Sachsen-Anhalt
70,Dessau – Wittenberg,15,Sachsen-Anhalt
71,Anhalt,15,Sachsen-Anhalt
72,Halle,15,Sachsen-Anhalt
73,Burgenland – Saalekreis,15,Sachsen-Anhalt
74,Mansfeld,15,Sachsen-Anhalt
75,Berlin-Mitte,11,Berlin
76,Berlin-Pankow,11,Berlin
77,Berlin-Reinickendorf,11,Berlin
78,Berlin-Spandau – Charlottenburg Nord,11,Berlin
79,Berlin-Steglitz-Zehlendorf,11,Berlin
80,Berlin-Charlottenburg-Wilmersdorf,11,Berlin
81,Berlin-Tempelhof-Schöneberg,11,Berlin
