Regionaleinheit;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08111001001-01 Landeshauptstadt Stuttgart 001-01 VWA Haus 08111000001-01;711;401;310;0;193;4;0;193;56;49;8;19;49;3;0;2;3;2;;;;;;;2;;;0;0;0
08111001001-02 Landeshauptstadt Stuttgart 001-02 Ev. Friedens-Gemeindehaus 08111000001-02;1533;1047;486;0;552;0;0;552;222;64;24;79;45;61;2;8;18;3;;;;;;;8;;;4;14;0
08111001001-03 Landeshauptstadt Stuttgart 001-03 Domsingschule Stuttgart 08111000001-03;1513;950;563;0;508;11;3;505;197;62;22;62;50;58;1;7;15;5;;;;;;;7;;;6;13;0
08111001001-04 Landeshauptstadt Stuttgart 001-04 Kolping-Schule 08111000001-04;1543;856;687;0;460;15;2;458;195;70;13;32;51;63;1;2;9;0;;;;;;;6;;;3;7;6
08111001001-05 Landeshauptstadt Stuttgart 001-05 Technische Oberschule 08111000001-05;1588;885;703;0;501;11;1;500;193;76;19;52;67;35;5;8;10;5;;;;;;;12;;;9;8;1
08111001001-06 Landeshauptstadt Stuttgart 001-06 Inlingua Sprachcenter 08111000001-06;1559;808;750;1;348;4;0;348;115;53;21;52;33;39;2;4;12;2;;;;;;;7;;;4;4;0
08111001001-07 Landeshauptstadt Stuttgart 001-07 Stadtteilhaus Mitte 08111000001-07;1495;857;638;0;436;8;0;436;174;49;21;55;60;52;3;4;5;3;;;;;;;0;;;3;7;0
08111001001-08 Landeshauptstadt Stuttgart 001-08 Karls-Gymnasium 08111000001-08;1533;908;625;0;407;2;1;406;146;64;20;50;50;45;2;3;9;2;;;;;;;2;;;1;12;0
08111001001-09 Landeshauptstadt Stuttgart 001-09 Max-Eyth-Schule 08111000001-09;1554;1042;512;0;325;3;1;324;114;33;31;37;40;35;4;1;11;2;;;;;;;7;;;2;7;0
08111001001-10 Landeshauptstadt Stuttgart 001-10 Hospitalhof 08111000001-10;1020;682;338;0;316;9;0;316;116;47;8;51;38;23;2;3;10;7;;;;;;;5;;;2;4;0
08111001001-11 Landeshauptstadt Stuttgart 002-01 Neckar-Realschule 08111000002-01;1465;698;767;0;365;6;2;363;148;49;20;44;47;18;4;2;5;6;;;;;;;10;;;5;5;0
08111001001-12 Landeshauptstadt Stuttgart 002-02 Rosensteinschule 08111000002-02;1700;1260;440;0;474;3;4;470;165;56;37;67;41;67;1;5;12;2;;;;;;;3;;;11;2;1
08111001001-13 Landeshauptstadt Stuttgart 002-03 Ev. Martins-Gemeindehaus 08111000002-03;1585;1132;453;0;487;7;4;483;162;96;39;47;63;40;1;4;10;4;;;;;;;8;;;7;2;0
08111001001-14 Landeshauptstadt Stuttgart 002-04 Pragschule 08111000002-04;1690;1188;502;0;357;4;1;356;105;51;39;51;40;36;5;2;13;4;;;;;;;1;;;4;4;1
08111001001-15 Landeshauptstadt Stuttgart 002-05 Mühlbachhofschule 08111000002-05;1480;749;731;0;465;10;0;465;209;83;18;50;57;19;1;3;5;4;;;;;;;7;;;5;4;0
08111001001-16 Landeshauptstadt Stuttgart 002-06 Mühlbachhofschule 08111000002-06;1437;704;733;0;486;7;2;484;190;118;16;47;89;11;0;1;3;2;;;;;;;1;;;3;3;0
08111001001-17 Landeshauptstadt Stuttgart 002-07 Pragschule 08111000002-07;1558;767;791;0;329;5;1;328;97;89;20;27;49;23;0;2;1;5;;;;;;;3;;;8;4;0
08111001001-18 Landeshauptstadt Stuttgart 002-08 Hölderlin-Gymnasium 08111000002-08;1556;969;587;0;459;8;1;458;207;53;27;43;51;41;4;6;10;5;;;;;;;6;;;1;4;0
08111001001-19 Landeshauptstadt Stuttgart 002-09 Hölderlin-Gymnasium, Außenstelle Herdweg 08111000002-09;1480;868;612;0;483;4;2;481;212;96;17;45;61;24;1;4;9;4;;;;;;;1;;;2;5;0
08111001001-20 Landeshauptstadt Stuttgart 002-10 Schule Im sonnigen Winkel 08111000002-10;1497;724;772;1;439;9;1;438;155;109;18;31;76;15;2;3;6;3;;;;;;;5;;;7;8;0
